table_id,min,max,table_name
aei_ef_ir,2005,2016,Share of irrigable and irrigated areas in utilised agricultural area (UAA) by NUTS 2 regions
aei_ef_ls,2005,2016,Share of main livestock types in total livestock units (LSU) by NUTS 2 regions
aei_ef_lu,2005,2016,Share of main land types in utilised agricultural area (UAA) by NUTS 2 regions
agr_r_accts,1973,2018,Economic accounts for agriculture by NUTS 2 regions
agr_r_accts_h,1973,2012,Economic accounts for agriculture by NUTS 2 regions (until 2012)
agr_r_animal,1977,2019,Animal populations by NUTS 2 regions
agr_r_milkpr,1995,2019,Production of cow's milk on farms by NUTS 2 regions
apro_cpnhr,2000,2020,Crop production in national humidity by NUTS 2 regions
apro_cpnhr_h,1975,1999,Crop production by NUTS 2 regions - historical data (1975-1999)
apro_cpshr,2000,2020,Crop production in EU standard humidity by NUTS 2 regions
cens_11aed_r2,2011,2011,"Population by current activity status, educational attainment level and NUTS 2 region"
cens_11an_r2,2011,2011,"Population by current activity status, NACE Rev. 2 activity and NUTS 2 region"
cens_11ao_r2,2011,2011,"Population by current activity status, occupation and NUTS 2 region"
cens_11arco_r2,2011,2011,"Population by period of arrival in the country, country of birth and NUTS 2 region"
cens_11coba_r2,2011,2011,"Population by group of country of birth, current activity status and NUTS 2 region"
cens_11cobe_r2,2011,2011,"Population by group of country of birth, educational attainment level and NUTS 2 region"
cens_11cobo_r2,2011,2011,"Population by group of country of birth, occupation and NUTS 2 region"
cens_11ctzo_r2,2011,2011,"Population by group of citizenship, occupation and NUTS 2 region"
cens_11empn_r2,2011,2011,"Population by status in employment, NACE Rev. 2 activity and NUTS 2 region"
cens_11empo_r2,2011,2011,"Population by status in employment, occupation and NUTS 2 region"
cens_11hou_r2,2011,2011,Population by housing arrangement and NUTS 2 region
cens_11htts_r2,2011,2011,"Private households by type, tenure status and NUTS 2 region"
demo_r_d2jan,1990,2019,"Population on 1 January by age, sex and NUTS 2 region"
demo_r_fagec,1990,2018,Live births by mother's age and NUTS 2 region
demo_r_find2,1990,2018,Fertility indicators by NUTS 2 region
demo_r_frate2,1990,2018,Fertility rates by age and NUTS 2 region
demo_r_magec,1990,2018,"Deaths by age, sex and NUTS 2 region"
demo_r_minf,1990,2018,Infant mortality by NUTS 2 region
demo_r_minfind,1990,2018,Infant mortality rates by NUTS 2 region
demo_r_mlife,1990,2018,Life table by NUTS 2 region
demo_r_mlifexp,1990,2018,"Life expectancy by age, sex and NUTS 2 region"
demo_r_mwk2_05,,,"Deaths by week, sex, 5-year age group and NUTS 2 region"
demo_r_mwk2_10,,,"Deaths by week, sex, 10-year age group and NUTS 2 region"
demo_r_mwk2_20,,,"Deaths by week, sex, 20-year age group and NUTS 2 region"
demo_r_mwk2_ts,,,"Deaths by week, sex and NUTS 2 region"
demo_r_pjangroup,1990,2019,"Population on 1 January by age group, sex and NUTS 2 region"
demo_r_pjanind2,1990,2019,Population: Structure indicators by NUTS 2 region
edat_lfs_9917,2004,2019,"Population by educational attainment level, sex, age, country of birth and NUTS 2 regions (%)"
edat_lfs_9918,2004,2019,"Population by educational attainment level, sex, age, citizenship and NUTS 2 regions (%)"
edat_lfse_04,2000,2019,"Population aged 25-64 by educational attainment level, sex and NUTS 2 regions (%)"
edat_lfse_12,2000,2019,"Population aged 30-34 by educational attainment level, sex and NUTS 2 regions (%)"
edat_lfse_16,2000,2019,Early leavers from education and training by sex and NUTS 2 regions
edat_lfse_22,2000,2019,Young people neither in employment nor in education and training by sex and NUTS 2 regions (NEET rates)
edat_lfse_33,2000,2019,"Employment rates of young people not in education and training by sex, educational attainment level, years since completion of highest level of education and NUTS 2 regions"
edat_lfse_37,2004,2019,"Young people neither in employment nor in education and training by sex, age, country of birth and NUTS 2 regions (NEET rates)"
edat_lfse_38,2004,2019,"Young people neither in employment nor in education and training by sex, age, citizenship and NUTS 2 regions (NEET rates)"
educ_regind,1998,2012,Education indicators by NUTS 2 regions
educ_renrlrg1,1998,2012,"Students by level of education, orientation, sex and NUTS 2 regions"
educ_renrlrg3,1998,2012,"Students by age, sex and NUTS 2 regions"
ef_kvaareg,2005,2013,"Key farm variables: area, livestock (LSU), labour force and standard output (SO) by agricultural size of farm (UAA), legal status of holding and NUTS 2 regions"
ef_kvecsleg,2005,2013,"Key variables: area, livestock (LSU), labour force and standard output (SO) by economic size of farm (SO in Euro), legal status of holding and NUTS 2 regions"
ef_kvftreg,2005,2013,"Key variables: area, livestock (LSU), labour force and standard output (SO) by type of farming (2-digit) and NUTS 2 regions"
ef_lac_cereals,,,Cereals by NUTS 2 regions
ef_lac_dpuls,,,Dried crop pulses by NUTS 2 regions
ef_lac_flower,,,Flowers and ornamental plants by NUTS 2 regions
ef_lac_greenfal,,,Plants harvested green and fallow land by NUTS 2 regions
ef_lac_indus,,,Industrial crops by NUTS 2 regions
ef_lac_main,,,Main crops by NUTS 2 regions
ef_lac_rootcrop,,,Root crops by NUTS 2 regions
ef_lac_vege,,,Vegetables by NUTS 2 regions
ef_ls_ovaareg,1990,2007,Livestock: number of farms and heads by size of farm (UAA) and NUTS 2 regions
ef_ls_ovesu,1990,2007,Livestock: number of farms and heads by economic size of farm (ESU) and NUTS 2 regions
ef_ls_ovlsureg,1990,2007,Livestock: number of farms and heads by livestock units (LSU) of farm and NUTS 2 regions
ef_lsk_bovine,2016,2016,Bovine animals by NUTS 2 regions
ef_lsk_gpig,2013,2016,Pig by NUTS 2 regions
ef_lsk_main,,,Main livestock indicators by NUTS 2 regions
ef_lsk_poultry,2013,2016,Poultry by NUTS 2 regions
ef_lsk_sheep,2016,2016,Sheep by NUTS 2 regions
ef_lu_ofirrig,1990,2007,"Irrigation: number of farms, areas and equipment by size of farm (UAA) and NUTS 2 regions"
ef_lu_ovcropaa,1990,2007,Farmland: number of farms and areas by size of farm (UAA) and NUTS 2 regions
